"lang","task","contest_num","nickname","solution_exists","try_cnt"
GNU C++11,D - RMQ2,7,PavelMeld,1,3
GNU C++11,D - RMQ2,7,kbrodt,1,5
GNU C++11,D - Reverses,9,kbrodt,1,2
GNU C++11,D - Shortest paths,11,kbrodt,1,7
GNU C++11,D - Sum Problem,8,MargaritaNik,1,8
GNU C++11,D - Sum Problem,8,kbrodt,1,4
GNU C++11,D - Гриша после дискотеки,2,MargaritaNik,1,4
GNU C++11,D - Гриша после дискотеки,2,kbrodt,1,4
GNU C++11,D - Гриша после дискотеки,2,obatek,1,10
GNU C++11,D - Гриша после дискотеки,2,olegshchegolev,1,3
GNU C++11,D - Гриша после дискотеки,2,soldatenkoes,1,2
GNU C++11,D - Гриша после дискотеки,2,zitimalex,1,2
GNU C++11,E - Articulation points,10,MargaritaNik,1,1
GNU C++11,E - Articulation points,10,PavelMeld,1,15
GNU C++11,E - Articulation points,10,kbrodt,1,1
GNU C++11,E - Backward RMQ,7,Mykolesiko,1,1
GNU C++11,E - Backward RMQ,7,kbrodt,1,3
GNU C++11,E - Cafe,6,kbrodt,1,0
GNU C++11,E - Cafe,6,soldatenkoes,1,13
GNU C++11,E - Simple sort,1,evgerher1,1,1
GNU C++11,E - Simple sort,1,folkl,1,0
GNU C++11,E - Simple sort,1,kbrodt,1,0
GNU C++11,E - Simple sort,1,obatek,1,5
GNU C++11,E - Simple sort,1,soldatenkoes,1,1
GNU C++11,E - Simple sort,1,teazizov,1,3
GNU C++11,E - Очень Легкая Задача,3,Artem1989,1,5
GNU C++11,E - Очень Легкая Задача,3,MargaritaNik,1,3
GNU C++11,E - Очень Легкая Задача,3,kbrodt,1,0
GNU C++11,E - Очень Легкая Задача,3,obatek,1,22
GNU C++11,E - Очень Легкая Задача,3,soldatenkoes,1,2
GNU C++11,E - Очень Легкая Задача,3,teazizov,1,12
GNU C++11,E - Очень Легкая Задача,3,vivaXAPOH,1,3
GNU C++11,F - Into the Jungle,3,MargaritaNik,1,0
GNU C++11,F - Into the Jungle,3,kbrodt,1,0
GNU C++11,F - Into the Jungle,3,obatek,1,0
GNU C++11,F - Into the Jungle,3,soldatenkoes,1,0
GNU C++11,F - Into the Jungle,3,teazizov,1,7
GNU C++11,F - Королевская сортировка,1,kbrodt,1,1
GNU C++11,F - Королевская сортировка,1,obatek,1,3
GNU C++11,F - Королевская сортировка,1,soldatenkoes,1,0
GNU C++14,A - $k$-я имперская порядковая статистика,2,"8michelle_weiss",1,1
GNU C++14,A - $k$-я имперская порядковая статистика,2,EienKotowaru,1,3
