"contest_num","nickname","passed_time"
1,Unmagian,366660
1,JessSmith,366660
1,FarSir,366600
1,tgolubeva,366600
1,Vetik,366600
1,Ripper_1011,366600
1,Alexander_Koshelev,366600
1,FarSir,366480
1,Unmagian,366480
1,a.m.tsitulskiy,366360
1,Vetik,366300
1,Alexander_Koshelev,366060
1,gruzenko.e,366000
1,gruzenko.e,366000
1,Alexander_Koshelev,365880
1,BasharovIlya,365820
1,d.a.gornostaev,365820
1,oleg.osipov,365820
1,Alexander_Koshelev,365760
1,BasharovIlya,365760
1,d.a.gornostaev,365760
1,krtch,365700
1,Alexander_Koshelev,365640
1,Vetik,365580
1,BasharovIlya,365580
1,BasharovIlya,365520
1,krtch,365460
1,Vetik,365460
1,berlios,365280
1,azapletin,365160
1,adil17ds,365040
1,JessSmith,365040
1,Gra37,364980
1,JessSmith,364980
1,Alexander_Koshelev,364980
1,albert_goryaeff,364920
1,wunder9l,364920
1,BasharovIlya,364860
1,andreiAP,364860
1,Alexander_Koshelev,364800
1,BasharovIlya,364740
1,Ripper_1011,364680
1,andreiAP,364680
1,Unmagian,364620
1,badlo_v,364560
1,Alexander_Koshelev,364560
1,wunder9l,364380
1,Vetik,364380
1,andreiAP,364320
1,JessSmith,364320
1,Vetik,364320
1,badlo_v,364260
1,andreiAP,364200
1,d.a.gornostaev,364140
1,d.a.gornostaev,364140
1,andreiAP,364140
1,andreiAP,364080
1,badlo_v,364020
1,krtch,364020
1,adil17ds,363960
1,krtch,363960
1,Vetik,363900
1,albert_goryaeff,363840
1,Ripper_1011,363720
1,tgolubeva,363720
1,Vetik,363720
1,Ripper_1011,363600
1,tgolubeva,363600
1,Vetik,363240
1,ksizova,363120
1,Unmagian,362940
1,"8michelle_weiss",362940
1,anyamb,362520
1,anyamb,362460
1,asviel,362220
1,"8michelle_weiss",362220
1,asviel,362100
1,"8michelle_weiss",362040
1,dimared,362040
1,gruzenko.e,361980
1,tgolubeva,361920
1,Vetik,361860
1,gruzenko.e,361860
1,wunder9l,361740
1,gruzenko.e,361560
1,Vetik,361320
1,Arhimisha,361320
1,wunder9l,361320
1,"8michelle_weiss",361260
1,PavelMeld,361260
1,asviel,360780
1,nurrik,360780
1,PavelMeld,360780
1,asviel,360720
1,asviel,360660
1,PavelMeld,360660
1,heaphop,360660
1,yunusovev,360420
1,berlios,360240
1,tgolubeva,360120
1,dimared,360060
1,Yanina_K,360000
1,anyamb,360000
1,dertty,359880
1,Vetik,359640
1,kuksha,359640
1,Safin,359580
1,"8michelle_weiss",359520
1,"8michelle_weiss",359400
1,kuksha,359400
1,Oleg__Trusov,359280
1,azapletin,359280
1,dimared,359160
1,adil17ds,359100
1,"8michelle_weiss",359040
1,krtch,358980
1,yunusovev,358920
1,mat90x,358620
1,kpotoh,358560
1,"8michelle_weiss",358560
1,oleg_nazarov,358560
1,azapletin,358500
1,happycookie,358440
1,azapletin,358440
1,mat90x,358380
1,mat90x,358380
1,happycookie,358260
1,badlo_v,357900
1,yunusovev,357900
1,fomin.fyodor,357900
1,Vetik,357840
1,toryinside,357780
1,toryinside,357780
1,mat90x,357720
1,"8michelle_weiss",357600
1,toryinside,357360
1,krtch,357360
1,toryinside,357180
1,toryinside,357060
1,Yanina_K,357060
1,"8michelle_weiss",356940
1,toryinside,356940
1,toryinside,356820
1,"8michelle_weiss",356820
1,Yanina_K,356820
1,badlo_v,356760
1,asviel,356700
1,asviel,356340
1,mat90x,356280
1,mat90x,356160
1,andreiAP,356040
1,andreiAP,355980
1,andreiAP,355860
1,dimared,355800
1,PavelMeld,355800
1,PavelMeld,355800
1,andreiAP,355740
1,kuksha,355680
1,andreiAP,355680
1,kuksha,355620
1,asviel,355620
1,Unmagian,355620
1,Wag0nWheels,355620
1,kuksha,355620
1,kuksha,355560
1,andreiAP,355500
1,andreiAP,355500
1,Vetik,355500
1,asviel,355440
1,asviel,355440
1,dimared,355380
1,Vetik,355380
1,happycookie,355140
1,ksizova,355140
1,dimared,355020
1,Yanina_K,355020
1,happycookie,354960
1,asviel,354900
1,PavelMeld,354900
1,ksizova,354840
1,Vetik,354780
1,Yanina_K,354720
1,PavelMeld,354660
1,ksizova,354660
1,ksizova,354420
1,Oleg__Trusov,354360
1,ksizova,354300
1,happycookie,354300
1,olga.novitskaya,354180
1,happycookie,354120
1,"8michelle_weiss",353940
1,vladimirzenin,353460
1,andreiAP,353340
1,tohich51,353280
1,"8michelle_weiss",353100
1,Yanina_K,352980
1,adil17ds,352920
1,kaip,352680
1,tgolubeva,352680
1,asviel,352620
1,kaip,352560
1,dertty,352260
1,adement,352200
1,"8michelle_weiss",352080
1,Jeditem,352080
1,"8michelle_weiss",352020
1,llevcono,351960
1,llevcono,351960
1,happycookie,351600
1,fomin.fyodor,351540
1,adement,351540
1,achurkin,351120
1,adement,351000
1,tgolubeva,350940
1,norron,350760
1,tgolubeva,350640
1,berlios,350280
1,berlios,349860
1,gruzenko.e,349800
1,Jeditem,349740
1,Jeditem,349680
1,Jeditem,349560
1,adement,349200
1,lena.antonova,348780
1,folkl,348780
1,Yanina_K,348600
1,VirHos,348600
1,lena.antonova,348540
1,lena.antonova,348480
1,folkl,347880
1,VirHos,347580
1,VirHos,347460
1,Wag0nWheels,347400
1,aorew,347400
1,dimared,347340
1,adement,347100
1,folkl,346980
1,maryia,346920
1,vlbakulev,346740
1,VirHos,346680
1,"0991798574n",346500
1,kaip,346260
1,berlios,346080
1,kaip,345780
1,norron,345780
1,alekandr.tarelkin,345300
1,vlbakulev,345120
1,Yanina_K,344700
1,adement,344640
1,alekandr.tarelkin,344580
1,Gra37,344460
1,berlios,343980
1,Sokoloid,343920
1,JessSmith,343920
1,berlios,343560
1,okate88,343200
1,vlbakulev,343080
1,berlios,343080
1,AlinaZemlev,342720
1,Yanina_K,342660
1,user_vi,342540
1,okate88,342540
1,UsatiyNyan,342360
1,UsatiyNyan,342180
1,norron,342180
1,Sokoloid,342060
1,UsatiyNyan,342060
1,user_vi,342000
1,user_vi,342000
1,tohich51,342000
